"Edit","Context Information","Alt+?","In Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Text Editing","Text Start","Ctrl+X, [","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"File","Print","Ctrl+P","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Chain Completion Category","Trigger Chain Completion Command","Ctrl+Shift+Space","Editing Java Source"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Text Editing","Delete Previous Word","Esc, Backspace","Editing Text"
"File","Print","Esc, F9","In Windows"
"Source","Apply Checkstyle fixes","Ctrl+Alt+C","Editing Java Source"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Find and Replace","Alt+R","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"File","Print","Alt+F9","In Windows"
"Text Editing","Page Up","Esc, V","Editing Text"
"Navigate","Go to Line","Ctrl+X, G","Editing Text"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"File","Save All","Ctrl+X, S","In Windows"
"Text Editing","Text Start","Alt+<","Editing Text"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Refactor - Java","Show Refactor Quick Menu","Alt+Shift+T","In Windows"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Previous Word","Esc, B","Editing Text"
"File","Close All","Ctrl+X, Ctrl+C","In Windows"
"Navigate","Go to Previous Member","Ctrl+Shift+Up","Editing Java Source"
"Window","Activate Editor","F12","In Windows"
"Text Editing","Delete Next","Ctrl+D","Editing Text"
"Text Editing","Text Start","Alt+Shift+<","Editing Text"
"Navigate","Next","Ctrl+.","In Windows"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Text Editing","Delete Next Word","Esc, D","Editing Text"
"Uncategorized","Copy","Ctrl+C","In Git Reflog View"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Text Editing","Set Mark","Ctrl+2","Editing Text"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Run/Debug","Debug OSGi Framework","Alt+Shift+D, O","In Windows"
"Edit","Underline","Ctrl+U","Auto::org.ecipse.gef.textContext"
"Edit","Redo","Ctrl+Shift++","In Windows"
"Text Editing","Cut to End of Line","Ctrl+K","Editing Text"
"File","Close","Ctrl+X, K","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Window","Switch to Editor","Ctrl+X, Ctrl+B","In Windows"
"File","New","Ctrl+N","In Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Text Editing","Set Mark","Ctrl+Space","Editing Text"
"Run/Debug","Run Maven Build","Alt+Shift+X, M","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Text Editing","Cut to Beginning of Line","Esc, 0, Ctrl+K","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Edit","Context Information","Alt+Shift+?","In Windows"
"Navigate","Collapse All","Ctrl+Shift+.","In Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Navigate","Open Resource","Ctrl+X, Ctrl+F","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Text Start","Esc, <","Editing Text"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Text Editing","Text End","Esc, Shift+>","Editing Text"
"WindowBuilder Pro","Empty command","Ctrl+Shift+A","WindowBuilder Java scope"
"Edit","Format","Ctrl+Shift+F","Editing in Structured Text Editors"
"Text Editing","Collapse","Ctrl+,","Editing Text"
"Text Editing","Line Down","Ctrl+N","Editing Text"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Run/Debug","Resume","F8","Debugging"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Window","Quick Access","Ctrl+3","In Windows"
"Edit","Redo","F10","In Windows"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing in Structured Text Editors"
"Text Editing","Select Next Word","Ctrl+Shift+Right","Editing Text"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Text Editing","Expand All","Ctrl+Shift+.","Editing Text"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Edit","Remove Block Comment","Ctrl+Shift+\","Editing in Structured Text Editors"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Debug","F11","In Windows"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Task Repositories","Mark Task Read and Go To Next Unread Task","Alt+Shift+Down","In Tasks View"
"Text Editing","Text Start","Esc, Shift+<","Editing Text"
"Views","Show View (Type Hierarchy)","Alt+Shift+Q, T","In Windows"
"Text Editing","Next Column","Ctrl+F","Editing Text"
"Text Editing","Text End","Alt+Shift+>","Editing Text"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks View"
"Text Editing","Line Start","Home","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Run/Debug","Inspect","Ctrl+Shift+I","In Dialogs and Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"File","Save All","Ctrl+Shift+S","In Windows"
"Text Editing","Scroll Line Up","Alt+Z","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Text Editing","Previous Word","Alt+B","Editing Text"
"Text Editing","Page Up","Alt+V","Editing Text"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Next Word","Esc, F","Editing Text"
"Text Editing","Swap Mark","Ctrl+X, Ctrl+X","Editing Text"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Text Editing","Text End","Alt+>","Editing Text"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Text Editing","Text End","Esc, >","Editing Text"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Text Editing","Page Down","Ctrl+V","Editing Text"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Edit","Italics","Ctrl+I","WYSIWYG Text Editing"
"Edit","Incremental Find","Ctrl+S","Editing Text"
"Views","Show View (Breakpoints)","Alt+Shift+Q, B","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Views","Show View (Declaration)","Alt+Shift+Q, D","In Windows"
"Edit","Occurrences in File","Ctrl+Shift+A","Editing in Structured Text Editors"
"Edit","Undo","F9","In Windows"
"File","Rename","F2","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"File","New menu","Alt+Shift+N","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Views","Show View (Extdoc)","Alt+Shift+Q, E","In Windows"
"Edit","Undo","Ctrl+X, U","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Text Editing","Expand","Ctrl+.","Editing Text"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Source","Surround With Quick Menu","Alt+Shift+Z","In Windows"
"Refactor - Java","Change Method Signature","Alt+Shift+C","In Windows"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Text Editing","Text End","Ctrl+X, ]","Editing Text"
"Navigate","Open Maven POM","Alt+Shift+P","In Windows"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"File","Save","Ctrl+X, Ctrl+S","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Z","Editing Text"
"Text Editing","Next Word","Alt+F","Editing Text"
"Source","Toggle Ant Mark Occurrences","Alt+Shift+O","Editing Ant Buildfiles"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Navigate","Open Manifest","Ctrl+Alt+Shift+M","In Windows"
"Text Editing","Clear Mark","Ctrl+G","Editing Text"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"View","Zoom In","Ctrl+=","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"EMF Code Generation","Generate Code","Alt+Shift+G","In Windows"
"Edit","Delete","Delete","In Windows"
"Navigate","Search Repository for Task","Ctrl+Shift+F12","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Delete Next Word","Alt+Delete","Editing Text"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"File","Refresh","F5","In Windows"
"Uncategorized","Add Artifact to Target Platform","Ctrl+Alt+Shift+A","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Spy","Plug-in Menu Spy","Alt+Shift+F2","In Dialogs and Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Edit","Matching Tag","Ctrl+Shift+>","Editing in Structured Text Editors"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Select All","Ctrl+X, H","In Dialogs and Windows"
"Navigate","Deactivate Task","Ctrl+Shift+F9","In Windows"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Text Editing","Line Up","Ctrl+P","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"Text Editing","Cut to Beginning of Line","Alt+0, Ctrl+K","Editing Text"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"Text Editing","Scroll Line Up","Esc, Z","Editing Text"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Window","Quick Switch Editor","Ctrl+X, B","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Window","Update Project","Alt+F5","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Run/Debug","Step Over","F6","Debugging"
"Edit","Find and Replace","Esc, R","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Task Repositories","Mark Task Unread","Alt+Shift+U","In Tasks View"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Views","Show View (Task List)","Alt+Shift+Q, K","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Edit","Redo","Ctrl+X, R","In Windows"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Text Editing","Previous Column","Ctrl+B","Editing Text"
"Edit","Copy","Esc, W","In Dialogs and Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"File","Close","Ctrl+W","In Windows"
"Edit","Bold","Ctrl+B","WYSIWYG Text Editing"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Text Editing","Collapse All","Ctrl+Shift+,","Editing Text"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Task Repositories","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"Edit","Undo","Ctrl+Shift+-","In Windows"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Window","Next View","Ctrl+F7","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"File","Close","Ctrl+F4","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"Navigate","Expand All","Ctrl+Shift+.","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"File","Save","Ctrl+S","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"File","Close All","Ctrl+Shift+W","In Windows"
"Navigate","Matching Character","Ctrl+Shift+P","Editing in Structured Text Editors"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
